"Luni","Pret","Variatie_procentuala","Variatie_absoluta","Curs_USD_EUR"
"Luna februarie 2015","49.76","3.151","1.52","1.135"
"Luna martie 2015","47.6","-4.341","-2.16","1.0819"
"Luna aprilie 2015","59.63","25.273","12.03","1.0822"
"Luna mai 2015","60.3","1.124","0.67","1.1167"
"Luna iunie 2015","59.47","-1.376","-0.83","1.1226"
"Luna iulie 2015","47.12","-20.767","-12.35","1.0997"
"Luna august 2015","49.2","4.414","2.08","1.1136"
"Luna septembrie 2015","45.09","-8.354","-4.11","1.1229"
"Luna octombrie 2015","46.59","3.327","1.5","1.1228"
"Luna noiembrie 2015","41.65","-10.603","-4.94","1.0727"
"Luna decembrie 2015","37.04","-11.068","-4.61","1.0889"
"Luna ianuarie 2016","33.62","-9.233","-3.42","1.0855"
"Luna februarie 2016","33.75","0.387","0.13","1.1092"
"Luna martie 2016","38.34","13.6","4.59","1.1134"
"Luna aprilie 2016","45.92","19.77","7.58","1.1346"
"Luna mai 2016","49.1","6.925","3.18","1.1312"
"Luna iunie 2016","48.33","-1.568","-0.77","1.1232"
"Luna iulie 2016","41.6","-13.925","-6.73","1.1055"
"Luna august 2016","44.7","7.452","3.1","1.1207"
"Luna septembrie 2016","48.24","7.919","3.54","1.1218"
"Luna octombrie 2016","46.86","-2.861","-1.38","1.1014"
"Luna noiembrie 2016","49.44","5.506","2.58","1.0792"
"Luna decembrie 2016","53.72","8.657","4.28","1.0545"
"Luna ianuarie 2017","52.81","-1.694","-0.91","1.0635"
"Luna februarie 2017","54.01","2.272","1.2","1.065"
"Luna martie 2017","50.6","-6.314","-3.41","1.0691"
"Luna aprilie 2017","49.21","-2.747","-1.39","1.0714"
"Luna mai 2017","48.32","-1.809","-0.89","1.105"
"Luna iunie 2017","46.04","-4.719","-2.28","1.1233"
"Luna iulie 2017","50.17","8.97","4.13","1.153"
"Luna august 2017","47.23","-5.86","-2.94","1.1813"
"Luna septembrie 2017","51.67","9.401","4.44","1.1913"
"Luna octombrie 2017","54.38","5.245","2.71","1.1755"
"Luna noiembrie 2017","57.4","5.554","3.02","1.1743"
"Luna decembrie 2017","60.42","5.261","3.02","1.1836"
"Luna ianuarie 2018","64.73","7.133","4.31","1.2197"
"Luna februarie 2018","61.64","-4.774","-3.09","1.234"
"Luna martie 2018","64.94","5.354","3.3","1.2334"
"Luna aprilie 2018","68.57","5.59","3.63","1.227"
"Luna mai 2018","67.04","-2.231","-1.53","1.1823"
"Luna iunie 2018","74.15","10.606","7.11","1.1679"
"Luna iulie 2018","68.76","-7.269","-5.39","1.1685"
"Luna august 2018","69.9977","1.8","1.2377","1.1547"
"Luna septembrie 2018","73.5992","5.145","3.6015","1.1667"
"Luna octombrie 2018","65.31","-11.263","-8.2892","1.1488"
"Luna noiembrie 2018","50.93","-22.018","-14.38","1.1364"
"Luna decembrie 2018","45.41","-10.838","-5.52","1.138"
"Luna ianuarie 2019","53.79","18.454","8.38","1.1418"
"Luna februarie 2019","57.22","6.377","3.43","1.1349"
"Luna martie 2019","60.14","5.103","2.92","1.1296"
"Luna aprilie 2019","63.91","6.269","3.77","1.1234"
"Luna mai 2019","53.5","-16.289","-10.41","1.1187"
"Luna iunie 2019","59.4601","11.14","5.9601","1.1295"
"Luna iulie 2019","58.58","-1.48","-0.8801","1.1211"
"Luna august 2019","55.1","-5.941","-3.48","1.1129"
"Luna septembrie 2019","54.07","-1.869","-1.03","1.1011"
"Luna octombrie 2019","54.18","0.203","0.11","1.1058"
"Luna noiembrie 2019","55.4872","2.413","1.3072","1.1051"
"Luna decembrie 2019","60.7556","9.495","5.2684","1.1114"
"Luna ianuarie 2020","51.56","-15.135","-9.1956","1.1098"
"Luna februarie 2020","44.76","-13.189","-6.8","1.0911"
"Luna martie 2020","20.48","-54.245","-24.28","1.1046"
"Luna aprilie 2020","18.84","-8.008","-1.64","1.0871"
"Luna mai 2020","35.49","88.376","16.65","1.0907"
"Luna iunie 2020","39.27","10.651","3.78","1.1259"
"Luna iulie 2020","40.27","2.546","1","1.1488"
"Luna august 2020","42.61","5.811","2.34","1.1831"
"Luna septembrie 2020","40.22","-5.609","-2.39","1.1785"
"Luna octombrie 2020","35.79","-11.014","-4.43","1.1768"
"Luna noiembrie 2020","45.34","26.683","9.55","1.1826"
"Luna decembrie 2020","48.52","7.014","3.18","1.2168"
"Luna ianuarie 2021","52.2","7.585","3.68","1.2178"
"Luna februarie 2021","61.5","17.816","9.3","1.2094"
"Luna martie 2021","59.16","-3.805","-2.34","1.1902"
"Luna aprilie 2021","63.58","7.471","4.42","1.1965"
"Luna mai 2021","66.93","5.269","3.35","1.2146"
"Luna iunie 2021","73.47","9.771","6.54","1.2048"
"Luna iulie 2021","73.95","0.653","0.48","1.1821"
"Luna august 2021","68.5","-7.37","-5.45","1.1767"
"Luna septembrie 2021","75.03","9.533","6.53","1.1765"
"Luna octombrie 2021","81.78","8.996","6.75","1.16"
